id,articleType,productDisplayName,gender,baseColour,season,year,usage,category,image_path
34041,Shirts,Gini and Jony Boys Check Red Shirt,Boys,Red,Summer,2012.0,Casual,Shirts,data/subset/images/34041.jpg
33249,Shirts,Arrow Men Blue Striped Shirt,Men,White,Summer,2012.0,Formal,Shirts,data/subset/images/33249.jpg
12180,Shirts,Basics Men White Slim Fit Checked Shirt,Men,White,Fall,2011.0,Casual,Shirts,data/subset/images/12180.jpg
7053,Shirts,s.Oliver Men Striped Dark Blue Shirt,Men,Blue,Summer,2011.0,Casual,Shirts,data/subset/images/7053.jpg
12003,Shirts,Mark Taylor Men Grey Striped Shirt,Men,Grey,Fall,2011.0,Formal,Shirts,data/subset/images/12003.jpg
9256,Shirts,Mark Taylor Men Blue Striped Shirt,Men,Blue,Fall,2011.0,Formal,Shirts,data/subset/images/9256.jpg
11672,Shirts,Lee Men Check Yellow Shirts,Men,Yellow,Fall,2011.0,Casual,Shirts,data/subset/images/11672.jpg
12005,Shirts,Mark Taylor Men Green Striped Shirt,Men,Green,Fall,2011.0,Formal,Shirts,data/subset/images/12005.jpg
43629,Shirts,Vero Moda Women Black Shirt,Women,Black,Summer,2012.0,Casual,Shirts,data/subset/images/43629.jpg
8889,Shirts,John Miller Men Black Shirt,Men,Black,Fall,2011.0,Formal,Shirts,data/subset/images/8889.jpg
17714,Shirts,Reid & Taylor Men Check Red Shirt,Men,Red,Fall,2011.0,Casual,Shirts,data/subset/images/17714.jpg
26376,Shirts,Turtle Men Blue Shirt,Men,Blue,Summer,2012.0,Formal,Shirts,data/subset/images/26376.jpg
24068,Shirts,Locomotive Men Check Grey Shirt,Men,Grey,Fall,2011.0,Casual,Shirts,data/subset/images/24068.jpg
16042,Shirts,Highlander Men Check Red Shirt,Men,Red,Fall,2011.0,Casual,Shirts,data/subset/images/16042.jpg
7140,Shirts,Scullers For Her Women Light Work Blue Check Shirts,Women,Blue,Fall,2011.0,Casual,Shirts,data/subset/images/7140.jpg
9667,Shirts,Indigo Nation Men Bling Red Black Shirts,Men,Purple,Fall,2011.0,Casual,Shirts,data/subset/images/9667.jpg
26057,Shirts,John Miller Men Check Purple Shirt,Men,Purple,Summer,2012.0,Formal,Shirts,data/subset/images/26057.jpg
30798,Shirts,Fabindia Men Beige Shirt,Men,Beige,Summer,2012.0,Ethnic,Shirts,data/subset/images/30798.jpg
17179,Shirts,U.S. Polo Assn. Men Solid White Shirt,Men,White,Winter,2016.0,Casual,Shirts,data/subset/images/17179.jpg
31099,Shirts,Gini and Jony Boys Check Blue Shirt,Boys,Blue,Summer,2012.0,Casual,Shirts,data/subset/images/31099.jpg
16452,Shirts,Locomotive Men Check Red Shirt,Men,Red,Fall,2011.0,Casual,Shirts,data/subset/images/16452.jpg
14775,Shirts,Arrow Men Blue Striped Shirt,Men,Blue,Fall,2013.0,Formal,Shirts,data/subset/images/14775.jpg
20153,Shirts,Wrangler Men Taylor Block Check Blue Shirt,Men,Blue,Fall,2011.0,Casual,Shirts,data/subset/images/20153.jpg
11426,Shirts,United Colors of Benetton Men Light Blue Shirts,Men,Blue,Fall,2011.0,Casual,Shirts,data/subset/images/11426.jpg
6611,Shirts,Spykar Men Stripes Navy Blue Shirt,Men,Navy Blue,Summer,2011.0,Casual,Shirts,data/subset/images/6611.jpg
16034,Shirts,Highlander Men Stripes White Shirt,Men,White,Fall,2011.0,Casual,Shirts,data/subset/images/16034.jpg
42598,Shirts,United Colors of Benetton Men Blue Shirt,Men,Blue,Summer,2012.0,Casual,Shirts,data/subset/images/42598.jpg
41393,Shirts,Wrangler Men Purple Shirt,Men,Purple,Summer,2012.0,Casual,Shirts,data/subset/images/41393.jpg
9611,Shirts,Indigo Nation Men Price catch Green White Shirts,Men,White,Fall,2011.0,Formal,Shirts,data/subset/images/9611.jpg
8190,Shirts,Locomotive Men Solid Poplin Lakota Black Shirts,Men,Black,Summer,2011.0,Casual,Shirts,data/subset/images/8190.jpg
31643,Shirts,Indigo Nation Men Purple Shirt,Men,Purple,Summer,2012.0,Casual,Shirts,data/subset/images/31643.jpg
24561,Shirts,Lee Men Smithon Blue Shirt,Men,Blue,Summer,2012.0,Casual,Shirts,data/subset/images/24561.jpg
15693,Shirts,Black coffee Men Micheal Blue Slim Fit Shirt,Men,Blue,Fall,2011.0,Formal,Shirts,data/subset/images/15693.jpg
9481,Shirts,John Miller Men Black white small check Shirts,Men,Black,Fall,2011.0,Formal,Shirts,data/subset/images/9481.jpg
51430,Shirts,Myntra Men Navy Blue & Orange Check Shirt,Men,White,Summer,2012.0,Casual,Shirts,data/subset/images/51430.jpg
31677,Shirts,Spykar Men Check White Shirt,Men,White,Summer,2012.0,Casual,Shirts,data/subset/images/31677.jpg
41605,Shirts,Basics Men Grey Shirt,Men,Grey,Fall,2012.0,Casual,Shirts,data/subset/images/41605.jpg
12241,Shirts,Genesis Men Stripes White Shirts,Men,White,Fall,2011.0,Formal,Shirts,data/subset/images/12241.jpg
29277,Shirts,Wrangler Women Salena Blue Shirt,Women,Blue,Summer,2012.0,Casual,Shirts,data/subset/images/29277.jpg
22575,Shirts,Highlander Men Check Red Shirt,Men,Red,Summer,2011.0,Casual,Shirts,data/subset/images/22575.jpg
43037,Shirts,Scullers Men Green & Navy Blue Shirt,Men,Green,Summer,2012.0,Casual,Shirts,data/subset/images/43037.jpg
7167,Shirts,Scullers Men Scul Purple White Shirt,Men,Purple,Fall,2011.0,Casual,Shirts,data/subset/images/7167.jpg
26367,Shirts,Arrow Woman Lavender Shirt,Women,Lavender,Summer,2012.0,,Shirts,data/subset/images/26367.jpg
12371,Shirts,Reid & Taylor Men Check Grey Shirts,Men,Grey,Fall,2011.0,Formal,Shirts,data/subset/images/12371.jpg
31046,Shirts,Arrow Sport Men Check Yellow Shirt,Men,Yellow,Summer,2012.0,Casual,Shirts,data/subset/images/31046.jpg
25537,Shirts,Wrangler Men Glamorgan Brown Shirt,Men,Brown,Summer,2012.0,Casual,Shirts,data/subset/images/25537.jpg
37141,Shirts,Wills Lifestyle Men Stripes Grey Shirt,Men,Grey,Summer,2012.0,Casual,Shirts,data/subset/images/37141.jpg
31611,Shirts,Indigo Nation Men Striped Blue Shirt,Men,Blue,Summer,2012.0,Formal,Shirts,data/subset/images/31611.jpg
31050,Shirts,Arrow Sport Men Check Navy Blue Shirt,Men,Navy Blue,Summer,2012.0,Casual,Shirts,data/subset/images/31050.jpg
7168,Shirts,Scullers Men Scul Blue White Shirt,Men,Blue,Fall,2011.0,Casual,Shirts,data/subset/images/7168.jpg
56816,Shirts,John Players Men Blue Shirt,Men,White,Summer,2012.0,Casual,Shirts,data/subset/images/56816.jpg
19699,Shirts,United Colors of Benetton Men White Shirt,Men,White,Fall,2011.0,Casual,Shirts,data/subset/images/19699.jpg
8789,Shirts,Indigo Nation Men Price catch Blue White Shirts,Men,White,Fall,2011.0,Formal,Shirts,data/subset/images/8789.jpg
12311,Shirts,Genesis Men Blue Shirt,Men,Blue,Fall,2011.0,Formal,Shirts,data/subset/images/12311.jpg
27868,Shirts,Scullers For Her Women White Striped Shirt,Women,White,Fall,2012.0,Smart Casual,Shirts,data/subset/images/27868.jpg
9455,Shirts,John Miller Men Red Striped Shirt,Men,Red,Fall,2011.0,Formal,Shirts,data/subset/images/9455.jpg
35440,Shirts,Doodle Boys Check Black Shirt,Boys,Black,Summer,2012.0,Casual,Shirts,data/subset/images/35440.jpg
53211,Shirts,Mark Taylor Men Blue Shirt,Men,Blue,Summer,2012.0,Formal,Shirts,data/subset/images/53211.jpg
41588,Shirts,Basics Men Blue Shirt,Men,Blue,Summer,2012.0,Casual,Shirts,data/subset/images/41588.jpg
10186,Shirts,Indigo Nation Men Black & Blue Stripe Shirt,Men,Black,Fall,2011.0,Casual,Shirts,data/subset/images/10186.jpg
9454,Shirts,John Miller Men White Check Shirt,Men,White,Fall,2011.0,Formal,Shirts,data/subset/images/9454.jpg
18881,Shirts,Arrow Woman Lana White Shirt,Women,White,Fall,2011.0,Casual,Shirts,data/subset/images/18881.jpg
15967,Shirts,Turtle Check Men Red Shirt,Men,Red,Fall,2011.0,Casual,Shirts,data/subset/images/15967.jpg
20154,Shirts,Wrangler Men Tylor Navy Blue Shirt,Men,Navy Blue,Fall,2011.0,Casual,Shirts,data/subset/images/20154.jpg
17549,Shirts,Mark Taylor Men Grey & White Striped Shirt,Men,Grey,Fall,2011.0,Formal,Shirts,data/subset/images/17549.jpg
12183,Shirts,Basics Men White Slim Fit Checked Shirt,Men,White,Fall,2011.0,Casual,Shirts,data/subset/images/12183.jpg
31147,Shirts,Gini and Jony Boys Check Blue Shirt,Boys,Blue,Summer,2012.0,Casual,Shirts,data/subset/images/31147.jpg
23186,Shirts,Black Coffee Men Grey and Black Shirt,Men,Black,Fall,2011.0,Formal,Shirts,data/subset/images/23186.jpg
9420,Shirts,John Miller Men Maroon grey Stripe Maroon Shirts,Men,Maroon,Fall,2011.0,Formal,Shirts,data/subset/images/9420.jpg
26050,Shirts,John Miller Men Striped Blue Shirt,Men,Blue,Summer,2012.0,Formal,Shirts,data/subset/images/26050.jpg
13487,Shirts,Spykar Men Stripes Blue Shirts,Men,Blue,Fall,2011.0,Casual,Shirts,data/subset/images/13487.jpg
6779,Shirts,Timberland Men Claremont Popl Olive Shirt,Men,Olive,Summer,2011.0,Casual,Shirts,data/subset/images/6779.jpg
9480,Shirts,John Miller Men Green white check Purple Shirts,Men,Green,Fall,2011.0,Formal,Shirts,data/subset/images/9480.jpg
43304,Shirts,United Colors of Benetton Women White Shirt,Women,White,Summer,2012.0,Casual,Shirts,data/subset/images/43304.jpg
16327,Shirts,Peter England Men Solid White Shirt,Men,White,Fall,2011.0,Casual,Shirts,data/subset/images/16327.jpg
8737,Shirts,Indigo Nation Men Checks Shirt Purple Shirts,Men,White,Fall,2011.0,Casual,Shirts,data/subset/images/8737.jpg
38823,Shirts,Latin Quarters Women Navy Blue Shirt,Women,Navy Blue,Fall,2012.0,Casual,Shirts,data/subset/images/38823.jpg
33057,Shirts,U.S. Polo Assn. Denim Co. Men Black Shirt,Men,Black,Summer,2012.0,Casual,Shirts,data/subset/images/33057.jpg
51404,Shirts,Myntra Men Blue Shirt,Men,Blue,Summer,2012.0,Casual,Shirts,data/subset/images/51404.jpg
14053,Shirts,Flying Machine Men Check  Blue Shirts,Men,Blue,Fall,2011.0,Casual,Shirts,data/subset/images/14053.jpg
31620,Shirts,Indigo Nation Men Grey Shirt,Men,Grey,Summer,2012.0,Formal,Shirts,data/subset/images/31620.jpg
13327,Shirts,Gini and Jony Kids Boys Printed Green Tshirts,Men,Green,Fall,2011.0,Casual,Shirts,data/subset/images/13327.jpg
41665,Shirts,Mark Taylor Men Brown Striped Shirt,Men,Brown,Summer,2012.0,Formal,Shirts,data/subset/images/41665.jpg
23196,Shirts,Highlander Men Green Check Shirt,Men,Green,Fall,2011.0,Casual,Shirts,data/subset/images/23196.jpg
19465,Shirts,Quiksilver Men Navy Blue Check Shirt,Men,Navy Blue,Fall,2011.0,Casual,Shirts,data/subset/images/19465.jpg
8759,Shirts,Indigo Nation Men Checks Shirt Red Shirts,Men,Red,Fall,2011.0,Casual,Shirts,data/subset/images/8759.jpg
11058,Shirts,Scullers Men Check Purple Shirts,Men,Purple,Fall,2011.0,Casual,Shirts,data/subset/images/11058.jpg
22385,Shirts,Mark Taylor Men Solid White Shirt,Men,White,Fall,2011.0,Casual,Shirts,data/subset/images/22385.jpg
46393,Shirts,ADIDAS Men Olive Shirt,Men,Olive,Summer,2012.0,Casual,Shirts,data/subset/images/46393.jpg
12357,Shirts,Reid & Taylor Men Check Blue Shirts,Men,Blue,Fall,2011.0,Formal,Shirts,data/subset/images/12357.jpg
9612,Shirts,Indigo Nation Men Stripes Yellow Shirt,Men,Yellow,Fall,2011.0,Casual,Shirts,data/subset/images/9612.jpg
24858,Shirts,Mark Taylor Men White Striped Shirt,Men,White,Summer,2011.0,Formal,Shirts,data/subset/images/24858.jpg
31101,Shirts,Gini and Jony Boys Check Black Shirt,Boys,Black,Summer,2012.0,Casual,Shirts,data/subset/images/31101.jpg
33493,Shirts,Doodle Kids Boy Check Blue Shirt,Men,Blue,Summer,2012.0,Casual,Shirts,data/subset/images/33493.jpg
17164,Shirts,U.S. Polo Assn. Men Checks Blue Shirt,Men,Blue,Fall,2011.0,Casual,Shirts,data/subset/images/17164.jpg
5974,Shirts,Locomotive Men Green Black White Checked Shirt,Men,Green,Summer,2011.0,Casual,Shirts,data/subset/images/5974.jpg
51401,Shirts,Myntra Men Blue and Yellow Check Shirt,Men,Blue,Summer,2012.0,Casual,Shirts,data/subset/images/51401.jpg
37143,Shirts,Wills Lifestyle Men Blue Gingham Shirt,Men,Blue,Summer,2012.0,Casual,Shirts,data/subset/images/37143.jpg
58800,Shirts,Highlander Men Blue Check Shirt,Men,Navy Blue,Fall,2012.0,Casual,Shirts,data/subset/images/58800.jpg
9659,Shirts,Indigo Nation Men Reversible Bling Blue Shirts,Men,Blue,Fall,2011.0,Casual,Shirts,data/subset/images/9659.jpg
18756,Shirts,Arrow Woman Kiro Blue Shirt,Women,Blue,Fall,2011.0,Casual,Shirts,data/subset/images/18756.jpg
22398,Shirts,Mark Taylor Men Striped White Shirt,Men,White,Fall,2011.0,Casual,Shirts,data/subset/images/22398.jpg
27894,Shirts,Scullers For Her Check Maroon Shirt,Women,Maroon,Summer,2012.0,Casual,Shirts,data/subset/images/27894.jpg
13755,Shirts,Belmonte Men Check Black Shirts,Men,Black,Fall,2011.0,Formal,Shirts,data/subset/images/13755.jpg
19853,Shirts,U.S. Polo Assn. Men Striped Blue Shirt,Men,Blue,Fall,2011.0,Casual,Shirts,data/subset/images/19853.jpg
9616,Shirts,Indigo Nation Men Checks Black White Shirts,Men,Black,Fall,2011.0,Casual,Shirts,data/subset/images/9616.jpg
20146,Shirts,Wrangler Men Urban Navy Blue Shirt,Men,Navy Blue,Fall,2011.0,Casual,Shirts,data/subset/images/20146.jpg
27931,Shirts,Jealous 21 Women White Shirt,Women,White,Summer,2012.0,Casual,Shirts,data/subset/images/27931.jpg
14712,Shirts,Genesis Off-White Formal Shirt,Men,Off White,Winter,2011.0,Formal,Shirts,data/subset/images/14712.jpg
41661,Shirts,Mark Taylor Men Blue Striped Shirt,Men,Blue,Summer,2012.0,Formal,Shirts,data/subset/images/41661.jpg
8181,Shirts,Locomotive Men Check Ladislav Purple Shirts,Men,Purple,Summer,2011.0,Casual,Shirts,data/subset/images/8181.jpg
5943,Shirts,Locomotive Men Green Checked Shirt,Men,Green,Summer,2011.0,Casual,Shirts,data/subset/images/5943.jpg
6867,Shirts,Forever New Women Light Brown & Grey Striped Shirt,Women,Grey,Summer,2011.0,Casual,Shirts,data/subset/images/6867.jpg
20029,Shirts,United Colors of Benetton Men Solid Grey Shirt,Men,Grey,Fall,2011.0,Casual,Shirts,data/subset/images/20029.jpg
58809,Shirts,Highlander Men White Striped Shirt,Men,White,Fall,2012.0,Casual,Shirts,data/subset/images/58809.jpg
10811,Shirts,Wrangler Men Rodeo 47 Tab Pkt Red Shirts,Men,Red,Fall,2011.0,Casual,Shirts,data/subset/images/10811.jpg
